userId,Item,rating,Review
1,Panipuri ,2,"Panipuri was kinda meh, lacked that spicy kick I craved."
1,Veg Noodles ,3,"Veg noodles were aight, needed more veggies though."
1,Tea ,4,"Tea is my jam, always gets the day going."
2,Maggi ,4,"Maggi is the OG comfort snack, never disappoints."
2,Chicken Roll ,5,"Chicken roll is fire, so dang tasty!"
2,Fruit Juice ,2,"Fruit juice was a letdown, too watery."
3,Veg Noodles ,2,"Veg noodles were a miss, too bland for my taste."
3,Tea ,4,"Tea is bae, can't start the day without it."
3,Ice Tea ,3,"Ice tea was just meh, expected better flavor."
4,Non Veg Noodles ,3,"Non veg noodles were so-so, needed more punch."
4,Veg Roll ,2,"Veg roll was a flop, not enough flavor."
4,Coffee ,4,"Coffee was lit, a real wake-me-up!"
5,Chicken Roll ,5,"Chicken roll - a party in my mouth, loved every bite!"
5,Ice Tea ,1,"Ice tea was a disaster, tasted like water."
5,Panipuri ,5,"Panipuri is bomb, that spiciness is addictive!"
6,Maggi ,5,"Maggi is my go-to savior, the ultimate quick snack!"
6,Fruit Juice ,3,"Fruit juice was so-so, could be more fruity."
6,Coffee ,4,Coffee - the best buddy for late-night studying.
7,Coffee ,5,"Coffee was a lifesaver, kept me alive during exams!"
7,Tea ,3,"Tea was meh, needed more strength."
7,Panipuri ,5,"Panipuri - an explosion of flavors, loved it!"
8,Veg Roll ,2,"Veg roll was a disappointment, bland as heck."
8,Non Veg Noodles ,3,"Non veg noodles were decent, but lacking that oomph."
8,Fruit Juice ,4,"Fruit juice was refreshing, a good break drink."
9,Ice Tea ,3,"Ice tea was alright, nothing special."
9,Veg Noodles ,2,"Veg noodles were tasteless, didn't hit the spot."
9,Maggi ,5,"Maggi is a legend, always a comfort."
10,Chicken Roll ,4,"Chicken roll was decent, but could've been juicier."
10,Tea ,5,"Tea was perfecto, just the way I like it!"
10,Coffee ,2,"Coffee was weak, need that caffeine punch!"
11,Panipuri ,2,"Panipuri was a letdown, lacked the zing I was hoping for. The tanginess was missing, and the spiciness was just not there. Perhaps a different vendor might do justice to this street food delight."
12,Veg Noodles ,3,"Veg noodles were decent, but the quantity of veggies was underwhelming. I'm all about that veggie goodness, and I felt like I was left wanting. The taste was alright, but a veggie overload would've made it so much better."
13,Tea ,4,"Tea was good, no two ways about it. A warm, comforting cup with just the right amount of sweetness and that distinct tea flavor. The serving size could have been a tad more generous, but nonetheless, a satisfying cuppa."
14,Non Veg Noodles ,3,"Non veg noodles had potential but were a bit too oily for my liking. The flavor profile was alright, but the excess oil just overshadowed it. A tweak in the oiliness level could take this dish up a notch."
15,Ice Tea ,2,"Ice tea was a disappointment, lacked the refreshing punch I anticipated. It was overly sweet and tasted artificial, far from the natural fruity notes I was hoping for. A more authentic taste is definitely needed."
16,Chicken Roll ,4,"Chicken roll had great flavor, and the chicken was juicy and tender. However, the wrap was a bit dry, which took away from the overall experience. A more moist and flavorful wrap would make this a stellar choice."
17,Maggi ,4,"Maggi is a classic comfort food, quick to make and instantly satisfying. The seasoning was good, but a little extra spice could have made it exceptional. Overall, a reliable go-to option for a quick bite."
18,Veg Roll ,3,"Veg roll was alright, but the filling was a bit bland. A more flavorful stuffing would have elevated the taste. The presentation could also be improved for a more appealing experience."
19,Fruit Juice ,4,"Fruit juice was refreshing and had a genuine fruity taste. However, it was slightly too sweet for my preference. Adjusting the sweetness level to a more natural sweetness would make it perfect."
20,Coffee ,5,"Coffee was exceptional, rich and aromatic, just the way I like it. It had the right balance of bitterness and the right kick of caffeine. A cup of this coffee sets the right tone for the day."
21,Panipuri ,2,"Panipuri lacked spice, not my favorite."
21,Veg Noodles ,3,"Decent veg noodles, but a bit bland."
21,Tea ,4,"Tea was good, just the way I like it."
22,Maggi ,3,"Maggi's a quick fix, average taste."
22,Chicken Roll ,4,"Chicken roll hit the spot, flavorful."
22,Fruit Juice ,3,"Fruit juice was refreshing, a bit sweet."
23,Veg Noodles ,2,"Veg noodles lacked veggies, a letdown."
23,Tea ,3,"Tea was alright, could be stronger."
23,Ice Tea ,2,"Ice tea was too sugary, not my taste."
24,Non Veg Noodles ,4,"Non veg noodles were tasty, satisfying."
24,Veg Roll ,2,"Veg roll lacked flavor, needs improvement."
24,Coffee ,4,"Coffee was great, woke me up."
25,Chicken Roll ,5,"Chicken roll was superb, loved it!"
25,Ice Tea ,1,"Ice tea was awful, too diluted."
25,Panipuri ,5,"Panipuri was a burst of flavors, loved it!"
26,Maggi ,5,"Maggi is a classic favorite, never disappoints."
26,Fruit Juice ,3,"Fruit juice was refreshing, average taste."
26,Coffee ,4,Coffee - a great pick-me-up.
27,Coffee ,4,"Coffee was good, hit the spot."
27,Tea ,3,"Tea was average, needed a stronger flavor."
27,Panipuri ,4,"Panipuri was tangy and spicy, enjoyable."
28,Veg Roll ,3,"Veg roll was decent, but nothing exceptional."
28,Non Veg Noodles ,4,"Non veg noodles were flavorful, good choice."
28,Fruit Juice ,4,"Fruit juice was refreshing, not too sweet."
29,Ice Tea ,3,"Ice tea was alright, a bit too sweet."
29,Veg Noodles ,3,"Veg noodles were average, could be better."
29,Maggi ,4,Maggi is a go-to comfort food.
30,Chicken Roll ,3,"Chicken roll was alright, could be tastier."
30,Tea ,4,"Tea was good, just the way I like it."
30,Coffee ,3,"Coffee was fine, didn't stand out."
31,Panipuri ,2,"Panipuri was a bit bland, needed more spice."
31,Veg Noodles ,3,"Veg noodles were okay, a tad oily."
31,Tea ,4,"Tea hit the spot, perfect warmth."
32,Maggi ,4,"Maggi is my guilty pleasure, always tasty."
32,Chicken Roll ,5,"Chicken roll was awesome, loved every bite."
32,Fruit Juice ,3,"Fruit juice was average, nothing extraordinary."
33,Veg Noodles ,2,"Veg noodles were disappointing, lacked flavor."
33,Tea ,3,"Tea was fine, could have been stronger."
33,Ice Tea ,2,Ice tea was too sweet for my liking.
34,Non Veg Noodles ,4,"Non veg noodles were on point, satisfying."
34,Veg Roll ,2,"Veg roll was below expectations, lacked taste."
34,Coffee ,4,"Coffee was good, got me through the day."
35,Chicken Roll ,5,"Chicken roll was top-notch, hit the cravings."
35,Ice Tea ,1,"Ice tea was a disaster, way too sugary."
35,Panipuri ,4,"Panipuri was zesty, a burst of flavors."
36,Maggi ,5,"Maggi is my go-to, never disappoints."
36,Fruit Juice ,3,"Fruit juice was refreshing, but too sweet."
36,Coffee ,4,"Coffee was just right, energizing."
37,Coffee ,4,"Coffee was a lifesaver, got me through the night."
37,Tea ,3,"Tea was average, needed more depth of flavor."
37,Panipuri ,4,"Panipuri was tangy, hit the spot."
38,Veg Roll ,3,"Veg roll was decent, could use more veggies."
38,Non Veg Noodles ,4,"Non veg noodles were tasty, worth it."
38,Fruit Juice ,4,"Fruit juice was rejuvenating, liked it."
39,Ice Tea ,3,"Ice tea was alright, a bit diluted."
39,Veg Noodles ,3,"Veg noodles were so-so, needed more seasoning."
39,Maggi ,4,Maggi is my late-night go-to.
40,Chicken Roll ,3,"Chicken roll was decent, but not mind-blowing."
40,Tea ,4,"Tea was just right, perfect for a break."
40,Coffee ,3,"Coffee was okay, could be stronger."
41,Panipuri ,1,"Panipuri was a disaster, lacked flavor."
41,Veg Noodles ,2,"Veg noodles were mediocre, expected better."
41,Tea ,3,"Tea was okay, could be stronger."
42,Maggi ,4,"Maggi is a classic, a quick and tasty meal."
42,Chicken Roll ,5,"Chicken roll was amazing, loved the spices!"
42,Fruit Juice ,3,Fruit juice was refreshing but a bit too sweet.
43,Veg Noodles ,2,"Veg noodles were tasteless, needed seasoning."
43,Tea ,4,"Tea was good, a nice pick-me-up."
43,Ice Tea ,2,"Ice tea was overly sweet, not my preference."
44,Non Veg Noodles ,4,"Non veg noodles were flavorful, enjoyed them."
44,Veg Roll ,2,"Veg roll was bland, didn't leave an impression."
44,Coffee ,4,"Coffee was just what I needed, a good cup."
45,Chicken Roll ,5,"Chicken roll was perfect, loved every bite!"
45,Ice Tea ,1,"Ice tea was a disappointment, tasted odd."
45,Panipuri ,4,"Panipuri had that spicy kick, enjoyed it."
46,Maggi ,5,"Maggi is a classic, never gets old."
46,Fruit Juice ,3,"Fruit juice was decent, could have been fresher."
46,Coffee ,4,"Coffee was good, set the right mood."
47,Coffee ,4,"Coffee was satisfying, perked me up."
47,Tea ,3,"Tea was alright, nothing extraordinary."
47,Panipuri ,4,"Panipuri had that tangy flavor, enjoyed it."
48,Veg Roll ,3,"Veg roll was average, lacked a punch."
48,Non Veg Noodles ,4,"Non veg noodles were tasty, good choice."
48,Fruit Juice ,4,"Fruit juice was refreshing, not too sweet."
49,Ice Tea ,3,"Ice tea was decent, a nice refreshment."
49,Veg Noodles ,3,"Veg noodles were okay, needed more flavor."
49,Maggi ,4,Maggi is a classic comfort food.
50,Chicken Roll ,3,"Chicken roll was decent, but could be juicier."
50,Tea ,4,"Tea was just right, perfect warmth."
50,Coffee ,3,"Coffee was average, needed more kick."
51,Panipuri ,2,"Panipuri was bland, didn't live up to expectations."
51,Veg Noodles ,3,"Veg noodles were average, lacked veggies."
51,Tea ,4,"Tea was good, a reliable choice."
52,Maggi ,5,"Maggi is the ultimate comfort food, never disappoints."
52,Chicken Roll ,4,"Chicken roll was delicious, loved the seasoning."
52,Fruit Juice ,3,Fruit juice was refreshing but a tad too sweet.
53,Veg Noodles ,2,"Veg noodles were bland, needed more spices."
53,Tea ,3,"Tea was average, could use a stronger flavor."
53,Ice Tea ,2,"Ice tea was overly sweet, not my liking."
54,Non Veg Noodles ,4,"Non veg noodles were flavorful, enjoyed the variety."
54,Veg Roll ,3,"Veg roll was decent, could have more veggies."
54,Coffee ,4,"Coffee was satisfying, a good pick-me-up."
55,Chicken Roll ,5,"Chicken roll was excellent, loved the spice blend!"
55,Ice Tea ,1,"Ice tea was a disappointment, too sugary."
55,Panipuri ,4,"Panipuri had the right tang, thoroughly enjoyed it."
56,Maggi ,5,"Maggi is a classic, my go-to snack."
56,Fruit Juice ,4,Fruit juice was refreshing and not overly sweet.
56,Coffee ,4,"Coffee was good, perked me up."
57,Coffee ,4,"Coffee was satisfying, just the right bitterness."
57,Tea ,3,"Tea was okay, needed more depth of flavor."
57,Panipuri ,4,"Panipuri was zesty, enjoyable."
58,Veg Roll ,3,"Veg roll was decent, but could be more flavorful."
58,Non Veg Noodles ,4,"Non veg noodles were tasty, worth a try."
58,Fruit Juice ,4,"Fruit juice was refreshing, not overly sweet."
59,Ice Tea ,3,"Ice tea was refreshing, but a bit too sweet."
59,Veg Noodles ,3,"Veg noodles were alright, could be more seasoned."
59,Maggi ,4,Maggi is a reliable quick meal.
60,Chicken Roll ,3,"Chicken roll was decent, but could use more filling."
